# serie: dificultad — Medición 1 · cuánto pesaba la bomba contra la dificultad real
# origen: https://ethereum-rpc.publicnode.com · eth_getBlockByNumber
# bajado: 2026-08-20 00:20 UTC
# rango: bloques 4000000..15537394 cada 10000
# el paso es parte del dato: la serie está muestreada, no es continua
bloque,marca,dificultad
8820000,1572157160,2428243808556917
8830000,1572295871,2421687745244235
8840000,1572434910,2424923644383898
8850000,1572573556,2483582855694634
8860000,1572713027,2434024349846705
8870000,1572851472,2404437284482932
8880000,1572989966,2471084344273990
8890000,1573129605,2441599705132994
8900000,1573268850,2449866415404009
8910000,1573411784,2523693828464509
8920000,1573555725,2544131776350717
8930000,1573699189,2569320913143766
8940000,1573843002,2574223655202317
8950000,1573987906,2410054369543918
8960000,1574131462,2432139664271837
8970000,1574276390,2389205718017520
8980000,1574420091,2400527780323462
8990000,1574563494,2439650452213020
9000000,1574706444,2573664196528490
9010000,1574860634,2500489774860304
9020000,1575013483,2546016126365296
9030000,1575166436,2530571769826521
9040000,1575319535,2587672165490185
9050000,1575473517,2538435397291007
9060000,1575627447,2537059880574896
9070000,1575780569,2494799481297585
9080000,1575933733,2496653608156098
9090000,1576087189,2462482775521534
9100000,1576239700,2475385893975275
9110000,1576406301,2746249034855271
9120000,1576575615,2676366571149862
9130000,1576747583,2641104688321353
9140000,1576920016,2612933970958847
9150000,1577092313,2554517094824164
9160000,1577264678,2444868691404718
9170000,1577436691,2553110106203412
9180000,1577608077,2553651012043388
9190000,1577780675,2500026124254706
9200000,1577953849,2458589766091800
9210000,1578089567,2082269419036820
9220000,1578222155,2042807330927484
9230000,1578353909,2098479510854110
9240000,1578486541,2059096386406385
9250000,1578619287,2035281233477046
9260000,1578750706,2120736456566939
9270000,1578883653,2070619425416979
9280000,1579016096,2048785920293853
9290000,1579148383,2109901788870092
9300000,1579280624,2113184933090219
9310000,1579413511,2037166349517500
9320000,1579545025,2142428643973856
9330000,1579677809,2059391297850947
9340000,1579809487,2114583068605341
9350000,1579942470,2080756958694778
9360000,1580075378,2058703395560995
9370000,1580207544,2058937225075978
9380000,1580339534,2130818808534000
9390000,1580473564,2024488855465599
9400000,1580606033,2056509142888783
9410000,1580738515,2077787214184012
9420000,1580870473,2148108593272443
9430000,1581003923,2103638553366400
9440000,1581136942,2161118600150255
9450000,1581270103,2106097083620618
9460000,1581401893,2121740738853307
9470000,1581534775,2200921603154742
9480000,1581667889,2207460431973933
9490000,1581801012,2237900379562234
9500000,1581934143,2230523668588724
9510000,1582067542,2201349611604133
9520000,1582200448,2214478740901285
9530000,1582333413,2218815387685266
9540000,1582465707,2278082642827010
9550000,1582598476,2282578736228512
9560000,1582731413,2263838117745516
9570000,1582864648,2289529516625300
9580000,1582996859,2328049129929628
9590000,1583130367,2180572283059768
9600000,1583262508,2266445750890140
9610000,1583394859,2348832708908611
9620000,1583528507,2241272996499806
9630000,1583659784,2367429889384072
9640000,1583793746,2281247833345852
9650000,1583926841,2225338724602244
9660000,1584059716,2330143572345564
9670000,1584194907,2135209076526796
9680000,1584326930,2241033983543455
9690000,1584460520,2144703120930246
9700000,1584592505,2220563025660672
9710000,1584726816,2204341122684418
9720000,1584861635,2185156571831244
9730000,1584996865,2230599156545442
9740000,1585132903,2160924579632442
9750000,1585266505,2182171172030932
9760000,1585399064,2181264133458113
9770000,1585530943,2261795662553502
9780000,1585663995,2233421636634504
9790000,1585796879,2208448663965528
9800000,1585929737,2225865533903622
9810000,1586062656,2203308835352550
9820000,1586196243,2125327607492301
9830000,1586328645,2208216189478844
9840000,1586461589,2219069970087841
9850000,1586595384,2170948627064159
9860000,1586727352,2251039164181429
9870000,1586860055,2255499814312805
9880000,1586993289,2284484395746624
9890000,1587127928,2176901520920396
9900000,1587261633,2178064137168984
9910000,1587395247,2148501220589855
9920000,1587528273,2194037604544639
9930000,1587661694,2243883291443590
9940000,1587795751,2211316450313721
9950000,1587929252,2241818995974840
9960000,1588064059,2144346814200953
9970000,1588196815,2309820275232774
9980000,1588331537,2320232244024488
9990000,1588465200,2363941321947640
10000000,1588598533,2385031566194447
10010000,1588732063,2311782318435095
10020000,1588866419,2241842767003565
10030000,1588999718,2323417383662143
10040000,1589134469,2219104783218907
10050000,1589268104,2259690719085894
10060000,1589401845,2290954581668785
10070000,1589535765,2339717898190991
10080000,1589671059,2245800139494487
10090000,1589805022,2269106308080357
10100000,1589939554,2338931587880827
10110000,1590074422,2210046255915489
10120000,1590208967,2246937068930723
10130000,1590342750,2306091034201450
10140000,1590478377,2198406447132372
10150000,1590611579,2311934576350694
10160000,1590746214,2288324532379666
10170000,1590879948,2340413137763364
10180000,1591014647,2298785313158828
10190000,1591148690,2391515813946253
10200000,1591282421,2435191332218539
10210000,1591417205,2363894850118310
10220000,1591550906,2360601406408911
10230000,1591685059,2308253744247125
10240000,1591819406,2298290955080476
10250000,1591953795,2196431151719420
10260000,1592086308,2312077088474809
10270000,1592220051,2257491176130402
10280000,1592353299,2325855132074483
10290000,1592487381,2298982318089862
10300000,1592620823,2361743547670471
10310000,1592754650,2332105155386460
10320000,1592887950,2351504800444667
10330000,1593021557,2435629036520022
10340000,1593155584,2405076861365980
10350000,1593290502,2305164856205964
10360000,1593423930,2398624653819963
10370000,1593558059,2436610118862333
10380000,1593693091,2363705727845150
10390000,1593826263,2418832532096129
10400000,1593960035,2378071531704478
10410000,1594093901,2337949604987351
10420000,1594226396,2437186664067027
10430000,1594360496,2399728373235285
10440000,1594494048,2428148639166074
10450000,1594627420,2402227934620587
10460000,1594761446,2375424610109684
10470000,1594895340,2415423456392639
10480000,1595029497,2349367850275596
10490000,1595162441,2433741195557438
10500000,1595296768,2347624853773353
10510000,1595431758,2252373860180786
10520000,1595564037,2470465936234062
10530000,1595699030,2340035304499783
10540000,1595831829,2483848690258758
10550000,1595965859,2514508014017148
10560000,1596098759,2584597017143132
10570000,1596233291,2469837894029027
10580000,1596366064,2537270708700774
10590000,1596499718,2481145326697472
10600000,1596634124,2436897562617715
10610000,1596767453,2479073538364190
10620000,1596900342,2586892229286664
10630000,1597033434,2551719350367333
10640000,1597167284,2535873903863914
10650000,1597300280,2553383469698139
10660000,1597432676,2718478690730579
10670000,1597565783,2725195108758065
10680000,1597700058,2533927741957191
10690000,1597832502,2624832905533788
10700000,1597965203,2717716447000994
10710000,1598098856,2654693559717718
10720000,1598230728,2764825306144552
10730000,1598364198,2731479831166446
10740000,1598496587,2781323518101432
10750000,1598628675,2774859658145454
10760000,1598760959,2821322202330998
10770000,1598894175,2726754577500747
10780000,1599025762,2850973607581401
10790000,1599158675,2756801071585118
10800000,1599290487,2937629698860303
10810000,1599421629,3082122980926333
10820000,1599554599,3028681946972038
10830000,1599687111,3012439613407546
10840000,1599820027,3006566617728730
10850000,1599952172,3085813235989979
10860000,1600085050,3041050756435883
10870000,1600217129,3131759563932432
10880000,1600349788,3191986122625104
10890000,1600483205,3124363569065144
10900000,1600615026,3172523977307115
10910000,1600747077,3191556203549883
10920000,1600879119,3270543041907848
10930000,1601012640,3130329859162958
10940000,1601147251,3271077908450906
10950000,1601282611,3275859632278632
10960000,1601417945,3259982536660646
10970000,1601553015,3259967465491139
10980000,1601687922,3215802938233723
10990000,1601822552,3364947502280768
11000000,1601957824,3364941662439784
11010000,1602092545,3406295091755811
11020000,1602229790,3280382277175403
11030000,1602363606,3280779236487292
11040000,1602495424,3318094828136948
11050000,1602627937,3352456111041389
11060000,1602760147,3268704530654266
11070000,1602892022,3348261835125420
11080000,1603025653,3179281821965029
11090000,1603157253,3297627031965215
11100000,1603289620,3371274085197703
11110000,1603422122,3450000203740513
11120000,1603554785,3403120566772188
11130000,1603687807,3316292063495743
11140000,1603820015,3316383422839057
11150000,1603952469,3363578931169278
11160000,1604085381,3350540531971214
11170000,1604218490,3320113800644542
11180000,1604351268,3260666518555986
11190000,1604483789,3351142437824261
11200000,1604616056,3325290545409246
11210000,1604747690,3510711042354104
11220000,1604880900,3396328625254415
11230000,1605013747,3414959837499599
11240000,1605146710,3388533851537150
11250000,1605279277,3398574959035565
11260000,1605411298,3452315755674165
11270000,1605544694,3268588279688275
11280000,1605676699,3420680729579178
11290000,1605809099,3532979016270996
11300000,1605942238,3483210744115338
11310000,1606074120,3597693528925473
11320000,1606207277,3564556151884152
11330000,1606340281,3547448761015158
11340000,1606472123,3712574015312416
11350000,1606605239,3551289075977665
11360000,1606737324,3712506304034653
11370000,1606870199,3721469786086348
11380000,1607003331,3605172794799914
11390000,1607136369,3577339693161445
11400000,1607268400,3732732153753884
11410000,1607401916,3671659167214035
11420000,1607534444,3614951176630878
11430000,1607667802,3578180256953046
11440000,1607800816,3693580510322599
11450000,1607934199,3498670243884710
11460000,1608066249,3626297407000952
11470000,1608199972,3485653004727573
11480000,1608332047,3635498251910252
11490000,1608464280,3657088858757381
11500000,1608596869,3695098482354083
11510000,1608728710,3760862116516863
11520000,1608861888,3654452435534973
11530000,1608994571,3735804889123544
11540000,1609127071,3706855971659639
11550000,1609259210,3841677682284026
11560000,1609392500,3703649404909147
11570000,1609524661,3760776597294631
11580000,1609657355,3797943665223597
11590000,1609790045,3837487057415150
11600000,1609922671,3815157282145611
11610000,1610055465,3845552395077668
11620000,1610187578,3983610588686860
11630000,1610320182,4028750223203778
11640000,1610453076,3999590152816097
11650000,1610583904,4329476364540334
11660000,1610717878,4057371085083563
11670000,1610850269,4139680494894768
11680000,1610983314,4087739272957131
11690000,1611115705,4187377987898260
11700000,1611247827,4280851368123824
11710000,1611380556,4359740783244926
11720000,1611513320,4420480812225195
11730000,1611646440,4369239019132169
11740000,1611779234,4534863410562685
11750000,1611912659,4428219041161548
11760000,1612046708,4294287126952292
11770000,1612178425,4556732633142992
11780000,1612311576,4530591007836069
11790000,1612444968,4589330933595400
11800000,1612578268,4587301796625415
11810000,1612710284,4832275224932245
11820000,1612843406,4854443414521983
11830000,1612976449,4787224916768588
11840000,1613109029,4925669409768413
11850000,1613242198,4950657247603930
11860000,1613374252,5063893637267307
11870000,1613507075,5154377754684284
11880000,1613640635,4959859080632451
11890000,1613772772,5186632750964613
11900000,1613907178,4846835526303754
11910000,1614038768,5229968508206748
11920000,1614171899,5334969093714060
11930000,1614304874,5230995989350239
11940000,1614437665,5289530430102335
11950000,1614570595,5406276670358483
11960000,1614703648,5352613078816441
11970000,1614837041,5232459666036187
11980000,1614969359,5539040290965058
11990000,1615102076,5521394101994323
12000000,1615234816,5648642301448524
12010000,1615368545,5534207468031884
12020000,1615502438,5461838960646159
12030000,1615635600,5594283488008575
12040000,1615768387,5811939935122829
12050000,1615902597,5564807035451652
12060000,1616035126,5649820630622991
12070000,1616167267,5858417638586909
12080000,1616300628,6026030704451391
12090000,1616434506,5760731258208912
12100000,1616567660,5834389822236981
12110000,1616700664,5877304936116223
12120000,1616832819,6087719346592861
12130000,1616965898,6153032980579839
12140000,1617099055,6122630935958655
